variante,instancia,hilos,semilla,tiempo_ms,mejor_valor,mejor_fitness,es_factible,generaciones_usadas
sequential,small,1,1,85,27514,27514,true,235
sequential,small,1,2,60.9999,29059,29059,true,173
sequential,small,1,3,99.9999,27812,27812,true,319
sequential,small,1,4,124,28916,28916,true,389
sequential,small,1,5,46.9999,27744,27744,true,148
sequential,small,1,6,64.0001,28478,28478,true,195
sequential,small,1,7,148,28857,28857,true,470
sequential,small,1,8,86,29059,29059,true,303
sequential,small,1,9,59.9999,28149,28149,true,181
sequential,small,1,10,127,29367,29367,true,350
sequential,small,1,11,50,27432,27432,true,160
sequential,small,1,12,120,27793,27793,true,412
sequential,small,1,13,107,28916,28916,true,337
sequential,small,1,14,120,27432,27432,true,349
sequential,small,1,15,129,28512,28512,true,378
sequential,small,2,1,75,27514,27514,true,235
sequential,small,2,2,82,29059,29059,true,173
sequential,small,2,3,112,27812,27812,true,319
sequential,small,2,4,134,28916,28916,true,389
sequential,small,2,5,49,27744,27744,true,148
sequential,small,2,6,61.0001,28478,28478,true,195
sequential,small,2,7,167,28857,28857,true,470
sequential,small,2,8,103,29059,29059,true,303
sequential,small,2,9,125,28149,28149,true,181
sequential,small,2,10,116,29367,29367,true,350
sequential,small,2,11,55.0001,27432,27432,true,160
sequential,small,2,12,137,27793,27793,true,412
sequential,small,2,13,111,28916,28916,true,337
sequential,small,2,14,113,27432,27432,true,349
sequential,small,2,15,120,28512,28512,true,378
sequential,small,4,1,64.0001,27514,27514,true,235
sequential,small,4,2,53,29059,29059,true,173
sequential,small,4,3,111,27812,27812,true,319
sequential,small,4,4,126,28916,28916,true,389
sequential,small,4,5,45.0001,27744,27744,true,148
sequential,small,4,6,63,28478,28478,true,195
sequential,small,4,7,153,28857,28857,true,470
sequential,small,4,8,83.9999,29059,29059,true,303
sequential,small,4,9,59,28149,28149,true,181
sequential,small,4,10,110,29367,29367,true,350
sequential,small,4,11,53,27432,27432,true,160
sequential,small,4,12,118,27793,27793,true,412
sequential,small,4,13,116,28916,28916,true,337
sequential,small,4,14,120,27432,27432,true,349
sequential,small,4,15,126,28512,28512,true,378
sequential,small,8,1,79.9999,27514,27514,true,235
sequential,small,8,2,59,29059,29059,true,173
sequential,small,8,3,113,27812,27812,true,319
sequential,small,8,4,119,28916,28916,true,389
sequential,small,8,5,46.9999,27744,27744,true,148
sequential,small,8,6,73.0002,28478,28478,true,195
sequential,small,8,7,158,28857,28857,true,470
sequential,small,8,8,130,29059,29059,true,303
sequential,small,8,9,66.9999,28149,28149,true,181
sequential,small,8,10,113,29367,29367,true,350
sequential,small,8,11,46.9999,27432,27432,true,160
sequential,small,8,12,126,27793,27793,true,412
sequential,small,8,13,99.9999,28916,28916,true,337
sequential,small,8,14,106,27432,27432,true,349
sequential,small,8,15,120,28512,28512,true,378
sequential,medium,1,1,293,269381,269381,true,101
sequential,medium,1,2,330,269381,269381,true,101
sequential,medium,1,3,355,269381,269381,true,101
sequential,medium,1,4,328,269381,269381,true,101
sequential,medium,1,5,330,269381,269381,true,101
sequential,medium,1,6,309,269381,269381,true,101
sequential,medium,1,7,324,269381,269381,true,101
sequential,medium,1,8,333,269381,269381,true,101
sequential,medium,1,9,308,269381,269381,true,101
sequential,medium,1,10,304,269381,269381,true,101
sequential,medium,1,11,303,269381,269381,true,101
sequential,medium,1,12,303,269381,269381,true,101
sequential,medium,1,13,302,269381,269381,true,101
sequential,medium,1,14,326,269381,269381,true,101
sequential,medium,1,15,489,269381,269381,true,101
sequential,medium,2,1,449,269381,269381,true,101
sequential,medium,2,2,480,269381,269381,true,101
sequential,medium,2,3,320,269381,269381,true,101
sequential,medium,2,4,308,269381,269381,true,101
sequential,medium,2,5,304,269381,269381,true,101
sequential,medium,2,6,300,269381,269381,true,101
sequential,medium,2,7,322,269381,269381,true,101
sequential,medium,2,8,323,269381,269381,true,101
sequential,medium,2,9,300,269381,269381,true,101
sequential,medium,2,10,297,269381,269381,true,101
sequential,medium,2,11,336,269381,269381,true,101
sequential,medium,2,12,306,269381,269381,true,101
sequential,medium,2,13,315,269381,269381,true,101
sequential,medium,2,14,327,269381,269381,true,101
sequential,medium,2,15,314,269381,269381,true,101
sequential,medium,4,1,331,269381,269381,true,101
sequential,medium,4,2,365,269381,269381,true,101
sequential,medium,4,3,350,269381,269381,true,101
sequential,medium,4,4,372,269381,269381,true,101
sequential,medium,4,5,358,269381,269381,true,101
sequential,medium,4,6,335,269381,269381,true,101
sequential,medium,4,7,318,269381,269381,true,101
sequential,medium,4,8,426,269381,269381,true,101
sequential,medium,4,9,313,269381,269381,true,101
sequential,medium,4,10,318,269381,269381,true,101
sequential,medium,4,11,302,269381,269381,true,101
sequential,medium,4,12,312,269381,269381,true,101
sequential,medium,4,13,321,269381,269381,true,101
sequential,medium,4,14,304,269381,269381,true,101
sequential,medium,4,15,304,269381,269381,true,101
sequential,medium,8,1,310,269381,269381,true,101
sequential,medium,8,2,350,269381,269381,true,101
sequential,medium,8,3,311,269381,269381,true,101
sequential,medium,8,4,341,269381,269381,true,101
sequential,medium,8,5,315,269381,269381,true,101
sequential,medium,8,6,315,269381,269381,true,101
sequential,medium,8,7,299,269381,269381,true,101
sequential,medium,8,8,309,269381,269381,true,101
sequential,medium,8,9,333,269381,269381,true,101
sequential,medium,8,10,304,269381,269381,true,101
sequential,medium,8,11,304,269381,269381,true,101
sequential,medium,8,12,334,269381,269381,true,101
sequential,medium,8,13,370,269381,269381,true,101
sequential,medium,8,14,320,269381,269381,true,101
sequential,medium,8,15,339,269381,269381,true,101
sequential,large,1,1,4514,2648760,2.64876e+06,true,101
sequential,large,1,2,4449,2648760,2.64876e+06,true,101
sequential,large,1,3,4424,2648760,2.64876e+06,true,101
